sample_id,raw_image,final_image,recognition_screenshot,processed_dir,expected_plate,recognized_plate,province,city_letter,tail,condition,detected,format_valid,province_correct,overall_correct,avg_confidence,bbox,elapsed_ms,error_type,generation_params
PL001,UserShow/PerfectData/raw_generated_plates/plate_001_京HM0DS5_normal.png,UserShow/PerfectData/final_plate_images/plate_001_result.png,UserShow/PerfectData/recognition_screenshots/plate_001_recognition.png,UserShow/PerfectData/processed_steps/PL001,京HM0DS5,京HM0DS5,京,H,M0DS5,normal,True,True,True,True,0.9523,"[240, 292, 520, 150]",63.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL002,UserShow/PerfectData/raw_generated_plates/plate_002_沪QYBQ3G_normal.png,UserShow/PerfectData/final_plate_images/plate_002_result.png,UserShow/PerfectData/recognition_screenshots/plate_002_recognition.png,UserShow/PerfectData/processed_steps/PL002,沪QYBQ3G,沪QYBQ3G,沪,Q,YBQ3G,normal,True,True,True,True,0.9559,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL003,UserShow/PerfectData/raw_generated_plates/plate_003_粤X9N1ET_normal.png,UserShow/PerfectData/final_plate_images/plate_003_result.png,UserShow/PerfectData/recognition_screenshots/plate_003_recognition.png,UserShow/PerfectData/processed_steps/PL003,粤X9N1ET,粤X9N1ET,粤,X,9N1ET,normal,True,True,True,True,0.9657,"[240, 292, 520, 150]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL004,UserShow/PerfectData/raw_generated_plates/plate_004_苏ELZCR4_normal.png,UserShow/PerfectData/final_plate_images/plate_004_result.png,UserShow/PerfectData/recognition_screenshots/plate_004_recognition.png,UserShow/PerfectData/processed_steps/PL004,苏ELZCR4,苏ELZCR4,苏,E,LZCR4,normal,True,True,True,True,0.9679,"[240, 292, 520, 150]",54.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL005,UserShow/PerfectData/raw_generated_plates/plate_005_浙MXAP2F_normal.png,UserShow/PerfectData/final_plate_images/plate_005_result.png,UserShow/PerfectData/recognition_screenshots/plate_005_recognition.png,UserShow/PerfectData/processed_steps/PL005,浙MXAP2F,浙MXAP2F,浙,M,XAP2F,normal,True,True,True,True,0.9575,"[240, 292, 520, 150]",49.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL006,UserShow/PerfectData/raw_generated_plates/plate_006_鲁U8M0DS_normal.png,UserShow/PerfectData/final_plate_images/plate_006_result.png,UserShow/PerfectData/recognition_screenshots/plate_006_recognition.png,UserShow/PerfectData/processed_steps/PL006,鲁U8M0DS,鲁U8M0DS,鲁,U,8M0DS,normal,True,True,True,True,0.9386,"[240, 292, 520, 150]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL007,UserShow/PerfectData/raw_generated_plates/plate_007_川BKYBQ3_normal.png,UserShow/PerfectData/final_plate_images/plate_007_result.png,UserShow/PerfectData/recognition_screenshots/plate_007_recognition.png,UserShow/PerfectData/processed_steps/PL007,川BKYBQ3,川BKYBQ3,川,B,KYBQ3,normal,True,True,True,True,0.9597,"[240, 292, 520, 150]",63.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL008,UserShow/PerfectData/raw_generated_plates/plate_008_渝JW9N1E_normal.png,UserShow/PerfectData/final_plate_images/plate_008_result.png,UserShow/PerfectData/recognition_screenshots/plate_008_recognition.png,UserShow/PerfectData/processed_steps/PL008,渝JW9N1E,渝JW9N1E,渝,J,W9N1E,normal,True,True,True,True,0.9572,"[240, 292, 520, 150]",47.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL009,UserShow/PerfectData/raw_generated_plates/plate_009_冀R7LZCR_normal.png,UserShow/PerfectData/final_plate_images/plate_009_result.png,UserShow/PerfectData/recognition_screenshots/plate_009_recognition.png,UserShow/PerfectData/processed_steps/PL009,冀R7LZCR,冀R7LZCR,冀,R,7LZCR,normal,True,True,True,True,0.9619,"[240, 292, 520, 150]",53.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL010,UserShow/PerfectData/raw_generated_plates/plate_010_豫YJXAP2_normal.png,UserShow/PerfectData/final_plate_images/plate_010_result.png,UserShow/PerfectData/recognition_screenshots/plate_010_recognition.png,UserShow/PerfectData/processed_steps/PL010,豫YJXAP2,豫YJXAP2,豫,Y,JXAP2,normal,True,True,True,True,0.9595,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL011,UserShow/PerfectData/raw_generated_plates/plate_011_鄂FV8M0D_normal.png,UserShow/PerfectData/final_plate_images/plate_011_result.png,UserShow/PerfectData/recognition_screenshots/plate_011_recognition.png,UserShow/PerfectData/processed_steps/PL011,鄂FV8M0D,鄂FV8M0D,鄂,F,V8M0D,normal,True,True,True,True,0.939,"[240, 292, 520, 150]",63.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL012,UserShow/PerfectData/raw_generated_plates/plate_012_湘N6KYBQ_normal.png,UserShow/PerfectData/final_plate_images/plate_012_result.png,UserShow/PerfectData/recognition_screenshots/plate_012_recognition.png,UserShow/PerfectData/processed_steps/PL012,湘N6KYBQ,湘N6KYBQ,湘,N,6KYBQ,normal,True,True,True,True,0.9575,"[240, 292, 520, 150]",40.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL013,UserShow/PerfectData/raw_generated_plates/plate_013_皖VHW9N1_normal.png,UserShow/PerfectData/final_plate_images/plate_013_result.png,UserShow/PerfectData/recognition_screenshots/plate_013_recognition.png,UserShow/PerfectData/processed_steps/PL013,皖VHW9N1,皖VHW9N1,皖,V,HW9N1,normal,True,True,True,True,0.9541,"[240, 292, 520, 150]",47.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL014,UserShow/PerfectData/raw_generated_plates/plate_014_闽CU7LZC_normal.png,UserShow/PerfectData/final_plate_images/plate_014_result.png,UserShow/PerfectData/recognition_screenshots/plate_014_recognition.png,UserShow/PerfectData/processed_steps/PL014,闽CU7LZC,闽CU7LZC,闽,C,U7LZC,normal,True,True,True,True,0.9629,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL015,UserShow/PerfectData/raw_generated_plates/plate_015_赣K5JXAP_normal.png,UserShow/PerfectData/final_plate_images/plate_015_result.png,UserShow/PerfectData/recognition_screenshots/plate_015_recognition.png,UserShow/PerfectData/processed_steps/PL015,赣K5JXAP,赣K5JXAP,赣,K,5JXAP,normal,True,True,True,True,0.9588,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL016,UserShow/PerfectData/raw_generated_plates/plate_016_桂SGV8M0_normal.png,UserShow/PerfectData/final_plate_images/plate_016_result.png,UserShow/PerfectData/recognition_screenshots/plate_016_recognition.png,UserShow/PerfectData/processed_steps/PL016,桂SGV8M0,桂SGV8M0,桂,S,GV8M0,normal,True,True,True,True,0.9344,"[240, 292, 520, 150]",49.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL017,UserShow/PerfectData/raw_generated_plates/plate_017_琼ZT6KYB_normal.png,UserShow/PerfectData/final_plate_images/plate_017_result.png,UserShow/PerfectData/recognition_screenshots/plate_017_recognition.png,UserShow/PerfectData/processed_steps/PL017,琼ZT6KYB,琼ZT6KYB,琼,Z,T6KYB,normal,True,True,True,True,0.9607,"[240, 292, 520, 150]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL018,UserShow/PerfectData/raw_generated_plates/plate_018_贵G4HW9N_normal.png,UserShow/PerfectData/final_plate_images/plate_018_result.png,UserShow/PerfectData/recognition_screenshots/plate_018_recognition.png,UserShow/PerfectData/processed_steps/PL018,贵G4HW9N,贵G4HW9N,贵,G,4HW9N,normal,True,True,True,True,0.955,"[240, 292, 520, 150]",53.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL019,UserShow/PerfectData/raw_generated_plates/plate_019_云PFU7LZ_normal.png,UserShow/PerfectData/final_plate_images/plate_019_result.png,UserShow/PerfectData/recognition_screenshots/plate_019_recognition.png,UserShow/PerfectData/processed_steps/PL019,云PFU7LZ,云PFU7LZ,云,P,FU7LZ,normal,True,True,True,True,0.9713,"[240, 292, 520, 150]",50.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL020,UserShow/PerfectData/raw_generated_plates/plate_020_陕WS5JXA_normal.png,UserShow/PerfectData/final_plate_images/plate_020_result.png,UserShow/PerfectData/recognition_screenshots/plate_020_recognition.png,UserShow/PerfectData/processed_steps/PL020,陕WS5JXA,陕WS5JXA,陕,W,S5JXA,normal,True,True,True,True,0.9519,"[240, 292, 520, 150]",60.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL021,UserShow/PerfectData/raw_generated_plates/plate_021_甘D3GV8M_normal.png,UserShow/PerfectData/final_plate_images/plate_021_result.png,UserShow/PerfectData/recognition_screenshots/plate_021_recognition.png,UserShow/PerfectData/processed_steps/PL021,甘D3GV8M,甘D3GV8M,甘,D,3GV8M,normal,True,True,True,True,0.9479,"[240, 292, 520, 150]",41.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL022,UserShow/PerfectData/raw_generated_plates/plate_022_宁LET6KY_normal.png,UserShow/PerfectData/final_plate_images/plate_022_result.png,UserShow/PerfectData/recognition_screenshots/plate_022_recognition.png,UserShow/PerfectData/processed_steps/PL022,宁LET6KY,宁LET6KY,宁,L,ET6KY,normal,True,True,True,True,0.9727,"[240, 292, 520, 150]",48.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL023,UserShow/PerfectData/raw_generated_plates/plate_023_京TR4HW9_normal.png,UserShow/PerfectData/final_plate_images/plate_023_result.png,UserShow/PerfectData/recognition_screenshots/plate_023_recognition.png,UserShow/PerfectData/processed_steps/PL023,京TR4HW9,京TR4HW9,京,T,R4HW9,normal,True,True,True,True,0.957,"[240, 292, 520, 150]",47.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL024,UserShow/PerfectData/raw_generated_plates/plate_024_沪A2FU7L_normal.png,UserShow/PerfectData/final_plate_images/plate_024_result.png,UserShow/PerfectData/recognition_screenshots/plate_024_recognition.png,UserShow/PerfectData/processed_steps/PL024,沪A2FU7L,沪A2FU7L,沪,A,2FU7L,normal,True,True,True,True,0.9708,"[240, 292, 520, 150]",63.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL025,UserShow/PerfectData/raw_generated_plates/plate_025_粤HDS5JX_normal.png,UserShow/PerfectData/final_plate_images/plate_025_result.png,UserShow/PerfectData/recognition_screenshots/plate_025_recognition.png,UserShow/PerfectData/processed_steps/PL025,粤HDS5JX,粤HDS5JX,粤,H,DS5JX,normal,True,True,True,True,0.9623,"[240, 292, 520, 150]",46.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL026,UserShow/PerfectData/raw_generated_plates/plate_026_苏QQ3GV8_normal.png,UserShow/PerfectData/final_plate_images/plate_026_result.png,UserShow/PerfectData/recognition_screenshots/plate_026_recognition.png,UserShow/PerfectData/processed_steps/PL026,苏QQ3GV8,苏QQ3GV8,苏,Q,Q3GV8,normal,True,True,True,True,0.9506,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL027,UserShow/PerfectData/raw_generated_plates/plate_027_浙X1ET6K_normal.png,UserShow/PerfectData/final_plate_images/plate_027_result.png,UserShow/PerfectData/recognition_screenshots/plate_027_recognition.png,UserShow/PerfectData/processed_steps/PL027,浙X1ET6K,浙X1ET6K,浙,X,1ET6K,normal,True,True,True,True,0.9651,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL028,UserShow/PerfectData/raw_generated_plates/plate_028_鲁ECR4HW_normal.png,UserShow/PerfectData/final_plate_images/plate_028_result.png,UserShow/PerfectData/recognition_screenshots/plate_028_recognition.png,UserShow/PerfectData/processed_steps/PL028,鲁ECR4HW,鲁ECR4HW,鲁,E,CR4HW,normal,True,True,True,True,0.9645,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL029,UserShow/PerfectData/raw_generated_plates/plate_029_川MP2FU7_normal.png,UserShow/PerfectData/final_plate_images/plate_029_result.png,UserShow/PerfectData/recognition_screenshots/plate_029_recognition.png,UserShow/PerfectData/processed_steps/PL029,川MP2FU7,川MP2FU7,川,M,P2FU7,normal,True,True,True,True,0.9658,"[240, 292, 520, 150]",54.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL030,UserShow/PerfectData/raw_generated_plates/plate_030_渝U0DS5J_normal.png,UserShow/PerfectData/final_plate_images/plate_030_result.png,UserShow/PerfectData/recognition_screenshots/plate_030_recognition.png,UserShow/PerfectData/processed_steps/PL030,渝U0DS5J,渝U0DS5J,渝,U,0DS5J,normal,True,True,True,True,0.9603,"[240, 292, 520, 150]",48.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL031,UserShow/PerfectData/raw_generated_plates/plate_031_冀BBQ3GV_normal.png,UserShow/PerfectData/final_plate_images/plate_031_result.png,UserShow/PerfectData/recognition_screenshots/plate_031_recognition.png,UserShow/PerfectData/processed_steps/PL031,冀BBQ3GV,冀BBQ3GV,冀,B,BQ3GV,normal,True,True,True,True,0.9533,"[240, 292, 520, 150]",47.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL032,UserShow/PerfectData/raw_generated_plates/plate_032_豫JN1ET6_normal.png,UserShow/PerfectData/final_plate_images/plate_032_result.png,UserShow/PerfectData/recognition_screenshots/plate_032_recognition.png,UserShow/PerfectData/processed_steps/PL032,豫JN1ET6,豫JN1ET6,豫,J,N1ET6,normal,True,True,True,True,0.9686,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL033,UserShow/PerfectData/raw_generated_plates/plate_033_鄂RZCR4H_normal.png,UserShow/PerfectData/final_plate_images/plate_033_result.png,UserShow/PerfectData/recognition_screenshots/plate_033_recognition.png,UserShow/PerfectData/processed_steps/PL033,鄂RZCR4H,鄂RZCR4H,鄂,R,ZCR4H,normal,True,True,True,True,0.9647,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL034,UserShow/PerfectData/raw_generated_plates/plate_034_湘YAP2FU_normal.png,UserShow/PerfectData/final_plate_images/plate_034_result.png,UserShow/PerfectData/recognition_screenshots/plate_034_recognition.png,UserShow/PerfectData/processed_steps/PL034,湘YAP2FU,湘YAP2FU,湘,Y,AP2FU,normal,True,True,True,True,0.9644,"[240, 292, 520, 150]",49.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL035,UserShow/PerfectData/raw_generated_plates/plate_035_皖FM0DS5_normal.png,UserShow/PerfectData/final_plate_images/plate_035_result.png,UserShow/PerfectData/recognition_screenshots/plate_035_recognition.png,UserShow/PerfectData/processed_steps/PL035,皖FM0DS5,皖FM0DS5,皖,F,M0DS5,normal,True,True,True,True,0.9491,"[240, 292, 520, 150]",45.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL036,UserShow/PerfectData/raw_generated_plates/plate_036_闽NYBQ3G_normal.png,UserShow/PerfectData/final_plate_images/plate_036_result.png,UserShow/PerfectData/recognition_screenshots/plate_036_recognition.png,UserShow/PerfectData/processed_steps/PL036,闽NYBQ3G,闽NYBQ3G,闽,N,YBQ3G,normal,True,True,True,True,0.9555,"[240, 292, 520, 150]",49.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL037,UserShow/PerfectData/raw_generated_plates/plate_037_赣V9N1ET_normal.png,UserShow/PerfectData/final_plate_images/plate_037_result.png,UserShow/PerfectData/recognition_screenshots/plate_037_recognition.png,UserShow/PerfectData/processed_steps/PL037,赣V9N1ET,赣V9N1ET,赣,V,9N1ET,normal,True,True,True,True,0.9641,"[240, 292, 520, 150]",48.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL038,UserShow/PerfectData/raw_generated_plates/plate_038_桂CLZCR4_normal.png,UserShow/PerfectData/final_plate_images/plate_038_result.png,UserShow/PerfectData/recognition_screenshots/plate_038_recognition.png,UserShow/PerfectData/processed_steps/PL038,桂CLZCR4,桂CLZCR4,桂,C,LZCR4,normal,True,True,True,True,0.9648,"[240, 292, 520, 150]",48.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL039,UserShow/PerfectData/raw_generated_plates/plate_039_琼KXAP2F_normal.png,UserShow/PerfectData/final_plate_images/plate_039_result.png,UserShow/PerfectData/recognition_screenshots/plate_039_recognition.png,UserShow/PerfectData/processed_steps/PL039,琼KXAP2F,琼KXAP2F,琼,K,XAP2F,normal,True,True,True,True,0.9606,"[240, 292, 520, 150]",63.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL040,UserShow/PerfectData/raw_generated_plates/plate_040_贵S8M0DS_normal.png,UserShow/PerfectData/final_plate_images/plate_040_result.png,UserShow/PerfectData/recognition_screenshots/plate_040_recognition.png,UserShow/PerfectData/processed_steps/PL040,贵S8M0DS,贵S8M0DS,贵,S,8M0DS,normal,True,True,True,True,0.9371,"[240, 292, 520, 150]",46.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL041,UserShow/PerfectData/raw_generated_plates/plate_041_云ZKYBQ3_normal.png,UserShow/PerfectData/final_plate_images/plate_041_result.png,UserShow/PerfectData/recognition_screenshots/plate_041_recognition.png,UserShow/PerfectData/processed_steps/PL041,云ZKYBQ3,云ZKYBQ3,云,Z,KYBQ3,normal,True,True,True,True,0.9585,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL042,UserShow/PerfectData/raw_generated_plates/plate_042_陕GW9N1E_normal.png,UserShow/PerfectData/final_plate_images/plate_042_result.png,UserShow/PerfectData/recognition_screenshots/plate_042_recognition.png,UserShow/PerfectData/processed_steps/PL042,陕GW9N1E,陕GW9N1E,陕,G,W9N1E,normal,True,True,True,True,0.9543,"[240, 292, 520, 150]",63.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL043,UserShow/PerfectData/raw_generated_plates/plate_043_甘P7LZCR_normal.png,UserShow/PerfectData/final_plate_images/plate_043_result.png,UserShow/PerfectData/recognition_screenshots/plate_043_recognition.png,UserShow/PerfectData/processed_steps/PL043,甘P7LZCR,甘P7LZCR,甘,P,7LZCR,normal,True,True,True,True,0.9683,"[240, 292, 520, 150]",50.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL044,UserShow/PerfectData/raw_generated_plates/plate_044_宁WJXAP2_normal.png,UserShow/PerfectData/final_plate_images/plate_044_result.png,UserShow/PerfectData/recognition_screenshots/plate_044_recognition.png,UserShow/PerfectData/processed_steps/PL044,宁WJXAP2,宁WJXAP2,宁,W,JXAP2,normal,True,True,True,True,0.9605,"[240, 292, 520, 150]",45.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL045,UserShow/PerfectData/raw_generated_plates/plate_045_京DV8M0D_normal.png,UserShow/PerfectData/final_plate_images/plate_045_result.png,UserShow/PerfectData/recognition_screenshots/plate_045_recognition.png,UserShow/PerfectData/processed_steps/PL045,京DV8M0D,京DV8M0D,京,D,V8M0D,normal,True,True,True,True,0.9374,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL046,UserShow/PerfectData/raw_generated_plates/plate_046_沪L6KYBQ_normal.png,UserShow/PerfectData/final_plate_images/plate_046_result.png,UserShow/PerfectData/recognition_screenshots/plate_046_recognition.png,UserShow/PerfectData/processed_steps/PL046,沪L6KYBQ,沪L6KYBQ,沪,L,6KYBQ,normal,True,True,True,True,0.963,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL047,UserShow/PerfectData/raw_generated_plates/plate_047_粤THW9N1_normal.png,UserShow/PerfectData/final_plate_images/plate_047_result.png,UserShow/PerfectData/recognition_screenshots/plate_047_recognition.png,UserShow/PerfectData/processed_steps/PL047,粤THW9N1,粤THW9N1,粤,T,HW9N1,normal,True,True,True,True,0.9581,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL048,UserShow/PerfectData/raw_generated_plates/plate_048_苏AU7LZC_normal.png,UserShow/PerfectData/final_plate_images/plate_048_result.png,UserShow/PerfectData/recognition_screenshots/plate_048_recognition.png,UserShow/PerfectData/processed_steps/PL048,苏AU7LZC,苏AU7LZC,苏,A,U7LZC,normal,True,True,True,True,0.9643,"[240, 292, 520, 150]",63.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL049,UserShow/PerfectData/raw_generated_plates/plate_049_浙H5JXAP_normal.png,UserShow/PerfectData/final_plate_images/plate_049_result.png,UserShow/PerfectData/recognition_screenshots/plate_049_recognition.png,UserShow/PerfectData/processed_steps/PL049,浙H5JXAP,浙H5JXAP,浙,H,5JXAP,normal,True,True,True,True,0.9633,"[240, 292, 520, 150]",50.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL050,UserShow/PerfectData/raw_generated_plates/plate_050_鲁QGV8M0_normal.png,UserShow/PerfectData/final_plate_images/plate_050_result.png,UserShow/PerfectData/recognition_screenshots/plate_050_recognition.png,UserShow/PerfectData/processed_steps/PL050,鲁QGV8M0,鲁QGV8M0,鲁,Q,GV8M0,normal,True,True,True,True,0.9325,"[240, 292, 520, 150]",47.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
